,user_id,movie_id,rating,timestamp,gender,age,occupation,zip,title,genres,for_testing
793512,1383,207,2,975979968,F,25,7,19806,"Walk in the Clouds, A (1995)",Drama|Romance,False
572346,1451,708,5,974763838,M,35,20,90012,"Truth About Cats & Dogs, The (1996)",Comedy|Romance,False
745469,1329,2409,4,976914838,M,18,14,60194,Rocky II (1979),Action|Drama,False
182642,2403,3421,4,974260837,M,18,4,37743,Animal House (1978),Comedy,False
181086,711,1247,5,975621615,M,25,18,80521,"Graduate, The (1967)",Drama|Romance,False
792132,2063,122,2,974663589,M,25,4,43138,Boomerang (1992),Comedy|Romance,False
105377,5227,1690,4,961475711,M,18,10,64050,Alien: Resurrection (1997),Action|Horror|Sci-Fi,False
25483,5211,1270,3,961597589,M,25,1,40214,Back to the Future (1985),Comedy|Sci-Fi,False
273301,198,3386,3,977092906,M,25,12,55108,JFK (1991),Drama|Mystery,False
647503,3309,2533,3,967967382,M,25,17,20707,Escape from the Planet of the Apes (1971),Action|Sci-Fi,False
185048,2029,1394,4,974671078,F,25,12,10011,Raising Arizona (1987),Comedy,False
306479,4685,2683,1,963644016,M,35,1,55454,Austin Powers: The Spy Who Shagged Me (1999),Comedy,False
981011,482,3459,4,976220487,M,25,14,55305,Gothic (1986),Drama|Horror,False
668420,5567,1956,3,959347468,M,50,3,78704,Ordinary People (1980),Drama,False
602116,4368,2763,4,965183338,M,18,17,22043,"Thomas Crown Affair, The (1999)",Action|Thriller,False
302752,2581,3267,5,973891083,M,25,11,60611,"Mariachi, El (1992)",Action|Thriller,False
258301,3425,1912,5,967352150,M,18,20,48135,Out of Sight (1998),Action|Crime|Romance,False
257387,2737,2282,3,973227718,M,25,3,50311,Pecker (1998),Comedy|Drama,False
225812,5264,1240,4,961180057,M,18,4,15217,"Terminator, The (1984)",Action|Sci-Fi|Thriller,False
705458,1137,3325,3,975362090,M,18,4,13165,"Next Best Thing, The (2000)",Comedy|Drama,False
534332,881,542,3,975263889,M,18,14,76401,Son in Law (1993),Comedy,False
848672,692,1480,5,978374352,F,25,0,85207,Smilla's Sense of Snow (1997),Action|Drama|Thriller,False
744419,1285,3708,4,975458979,M,35,4,98125,Firestarter (1984),Horror|Thriller,False
704585,2121,1219,5,974648496,M,56,13,02356,Psycho (1960),Horror|Thriller,False
614452,5795,553,4,958152661,M,25,1,92688,Tombstone (1993),Western,False
339359,5689,2966,4,980660051,M,25,0,84119,"Straight Story, The (1999)",Drama,False
2170,4979,661,4,962600954,M,35,2,55423,James and the Giant Peach (1996),Animation|Children's|Musical,False
454958,3650,750,5,973026311,M,25,0,60611,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War,False
455314,5223,750,5,961528319,M,56,10,11361,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War,False
139282,757,95,3,975562304,M,25,12,97401,Broken Arrow (1996),Action|Thriller,False
844437,3332,233,3,967848172,M,25,7,06854,Exotica (1994),Drama,False
268468,4227,2291,2,965317239,M,25,19,11414-2520,Edward Scissorhands (1990),Drama|Romance,False
769963,3675,1285,4,966368861,M,35,7,06680,Heathers (1989),Comedy,False
974522,1449,3475,4,975529609,M,35,20,17112,"Place in the Sun, A (1951)",Drama|Romance,False
990385,5099,867,2,962367270,M,18,0,02780,Carpool (1996),Comedy|Crime,False
881665,5468,423,2,967833452,M,25,12,94618,Blown Away (1994),Action|Thriller,False
384617,1170,25,5,974859755,M,56,3,10023,Leaving Las Vegas (1995),Drama|Romance,False
457119,5140,3608,2,964878152,M,25,6,35205,Pee-wee's Big Adventure (1985),Comedy,False
470110,2489,339,4,990968587,F,35,9,37843,While You Were Sleeping (1995),Comedy|Romance,False
101126,2340,3471,5,974421236,M,35,2,48104,Close Encounters of the Third Kind (1977),Drama|Sci-Fi,False
152909,5100,1957,5,962739645,M,50,6,193122042,Chariots of Fire (1981),Drama,False
411058,2751,3253,1,973197912,F,25,16,28120,Wayne's World (1992),Comedy,False
200630,95,733,4,977626881,M,45,0,98201,"Rock, The (1996)",Action|Adventure|Thriller,False
94264,5136,3255,4,962089242,M,25,12,91106,"League of Their Own, A (1992)",Comedy|Drama,False
162308,291,920,5,976565384,M,35,12,55110,Gone with the Wind (1939),Drama|Romance|War,False
841066,3727,965,4,966218606,M,35,7,74401,"39 Steps, The (1935)",Thriller,False
56366,4237,3114,4,965311458,M,25,14,77450,Toy Story 2 (1999),Animation|Children's|Comedy,False
328545,639,3501,4,981088538,M,45,17,85202,Murphy's Romance (1985),Comedy|Romance,False
224591,1726,1240,3,974710000,M,25,2,60160,"Terminator, The (1984)",Action|Sci-Fi|Thriller,False
239657,77,2700,4,977814274,M,18,4,15321,"South Park: Bigger, Longer and Uncut (1999)",Animation|Comedy,False
968112,1869,68,3,974694817,M,45,14,95148,French Twist (Gazon maudit) (1995),Comedy|Romance,False
980076,1680,137,1,974840424,M,25,20,95380,Man of the Year (1995),Documentary,False
823453,2020,3204,3,974678531,M,25,7,45011,"Boys from Brazil, The (1978)",Thriller,False
140468,148,2571,5,977333311,M,50,17,57747,"Matrix, The (1999)",Action|Sci-Fi|Thriller,False
700153,3841,1994,4,966000673,M,45,18,26101,Poltergeist (1982),Horror|Thriller,False
485525,5852,924,1,957754720,F,25,1,94044,2001: A Space Odyssey (1968),Drama|Mystery|Sci-Fi|Thriller,False
316779,2900,353,5,971903234,M,18,12,95120,"Crow, The (1994)",Action|Romance|Thriller,False
181028,450,1247,5,976234575,M,45,1,24523,"Graduate, The (1967)",Drama|Romance,False
577261,2892,1262,5,972006513,M,25,4,84064,"Great Escape, The (1963)",Adventure|War,False
140135,3365,2717,4,967666008,M,50,17,23059,Ghostbusters II (1989),Comedy|Horror,False
448039,2457,3525,4,974179315,M,25,0,60656,Bachelor Party (1984),Comedy,False
767177,1117,3441,4,975956161,M,18,14,10017,Red Dawn (1984),Action|War,False
633419,550,198,3,976162202,M,45,8,21559,Strange Days (1995),Action|Crime|Sci-Fi,False
681867,970,3698,2,975977856,M,25,0,27615,"Running Man, The (1987)",Action|Adventure|Sci-Fi,False
949999,4335,1128,3,965339447,M,35,0,74011,"Fog, The (1980)",Horror,False
997229,2777,2577,4,973052374,M,18,4,95326,Metroland (1997),Comedy|Drama,False
879488,482,19,4,976223283,M,25,14,55305,Ace Ventura: When Nature Calls (1995),Comedy,False
123338,1015,1801,3,979453803,M,35,3,11220,"Man in the Iron Mask, The (1998)",Action|Drama|Romance,False
297497,3648,1089,2,977183160,M,18,4,85210,Reservoir Dogs (1992),Crime|Thriller,False
505505,749,1129,3,975476901,M,35,18,56303,Escape from New York (1981),Action|Adventure|Sci-Fi|Thriller,False
546865,971,2105,4,975111758,M,25,12,43615,Tron (1982),Action|Adventure|Fantasy|Sci-Fi,False
382075,3311,3481,4,977127100,M,25,4,90039,High Fidelity (2000),Comedy,False
607309,4609,500,2,964164404,F,25,4,53951,Mrs. Doubtfire (1993),Comedy,False
574223,2020,3897,4,974672611,M,25,7,45011,Almost Famous (2000),Comedy|Drama,False
412598,3819,1584,4,965949070,M,25,12,36115,Contact (1997),Drama|Sci-Fi,False
270772,2860,1921,3,974152148,M,35,17,20009,Pi (1998),Sci-Fi|Thriller,False
408573,669,2302,4,975631786,M,25,17,30307,My Cousin Vinny (1992),Comedy,False
409790,1494,1148,5,974749812,M,25,17,38104,"Wrong Trousers, The (1993)",Animation|Comedy,False
634896,839,3638,3,980758832,M,25,0,98103,Moonraker (1979),Action|Romance|Sci-Fi,False
637802,5761,1614,4,982012341,M,25,20,90048,In & Out (1997),Comedy,False
989359,3885,3833,3,965811253,M,25,12,92728,"Brain That Wouldn't Die, The (1962)",Horror|Sci-Fi,False
519063,3547,2009,5,966915624,M,35,16,94108,Soylent Green (1973),Sci-Fi|Thriller,False
368980,2793,1277,4,972930221,M,35,7,70116,Cyrano de Bergerac (1990),Action|Drama|Romance,False
25534,5327,1270,5,961101461,M,25,7,55408,Back to the Future (1985),Comedy|Sci-Fi,False
185423,3592,1394,5,970165221,F,56,2,99701,Raising Arizona (1987),Comedy,False
899842,1733,448,5,985240110,M,18,14,43725,Fearless (1993),Drama,False
236727,5565,3793,4,1000156332,M,18,17,02114,X-Men (2000),Action|Sci-Fi,False
428300,1861,3363,5,974698277,M,50,16,92129,American Graffiti (1973),Comedy|Drama,False
916477,5964,3317,4,956992710,M,18,5,97202,Wonder Boys (2000),Comedy|Drama,False
74691,1113,1213,5,974917098,M,18,4,97215,GoodFellas (1990),Crime|Drama,False
480086,5614,1015,2,959205392,M,25,0,12833,Homeward Bound: The Incredible Journey (1993),Adventure|Children's,False
48826,4215,260,5,965325420,M,25,7,77006,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,False
517251,2457,2872,5,974179792,M,25,0,60656,Excalibur (1981),Action|Drama|Fantasy|Romance,False
149141,3611,3809,5,966614697,M,25,2,84321,What About Bob? (1991),Comedy,False
833701,2541,2383,1,974045731,F,35,5,49424,Police Academy 6: City Under Siege (1989),Comedy,False
551966,4386,1676,5,965167839,M,25,5,74055,Starship Troopers (1997),Action|Adventure|Sci-Fi|War,False
948381,802,2736,3,975401667,M,25,16,22801,Brighton Beach Memoirs (1986),Comedy,False
815401,4675,1183,4,963739101,F,18,4,27514,"English Patient, The (1996)",Drama|Romance|War,False
327466,284,364,3,976573030,M,25,12,91910,"Lion King, The (1994)",Animation|Children's|Musical,False
366647,2106,1059,2,975131244,F,18,20,495321,William Shakespeare's Romeo and Juliet (1996),Drama|Romance,False
923193,1377,9,2,974774203,M,35,16,65270,Sudden Death (1995),Action,False
432617,2888,2,3,972058704,M,25,14,55438,Jumanji (1995),Adventure|Children's|Fantasy,False
947927,1680,2525,3,974709245,M,25,20,95380,Alligator (1980),Action|Horror|Sci-Fi,False
392846,10,223,2,978225900,F,35,1,95370,Clerks (1994),Comedy,False
296787,306,1089,4,979169323,M,18,0,53051,Reservoir Dogs (1992),Crime|Thriller,False
972411,1941,2974,2,974853360,M,35,17,94550,Bats (1999),Horror|Thriller,False
396435,1837,3510,4,974918735,M,25,2,08817,Frequency (2000),Drama|Thriller,False
21486,5404,2797,4,960344791,M,25,0,30068,Big (1988),Comedy|Fantasy,False
569002,136,441,1,977530927,M,18,2,21202,Dazed and Confused (1993),Comedy,False
774785,4379,1888,1,965176718,M,25,4,27278,Hope Floats (1998),Comedy|Drama|Romance,False
265510,311,1704,5,976476940,M,18,4,31201,Good Will Hunting (1997),Drama,False
539938,5333,1220,3,960832162,F,25,7,02332,"Blues Brothers, The (1980)",Action|Comedy|Musical,False
905044,3718,1228,5,966263673,M,50,17,07728,Raging Bull (1980),Drama,False
800602,3301,1208,5,968215006,F,25,2,85719,Apocalypse Now (1979),Drama|War,False
437845,1712,1269,3,980385306,M,25,0,73003,Arsenic and Old Lace (1944),Comedy|Mystery|Thriller,False
948760,2063,328,4,974663467,M,25,4,43138,Tales From the Crypt Presents: Demon Knight (1995),Horror,False
490118,3128,858,5,969391881,M,18,2,10012,"Godfather, The (1972)",Action|Crime|Drama,False
56893,190,608,4,977026900,M,25,17,55125,Fargo (1996),Crime|Drama|Thriller,False
818205,131,3019,4,977431463,M,18,4,06520,Drugstore Cowboy (1989),Crime|Drama,False
798824,48,901,4,978146101,M,25,4,92107,Funny Face (1957),Comedy|Musical,False
344438,4808,2469,3,963035924,M,35,0,96707-1321,Peggy Sue Got Married (1986),Comedy|Romance,False
892158,3312,3179,4,968476596,F,18,4,90039,Angela's Ashes (1999),Drama,False
237374,466,41,5,976228181,M,25,5,55405,Richard III (1995),Drama|War,False
831110,5329,3271,4,960838093,F,25,5,91773,Of Mice and Men (1992),Drama,False
755360,26,303,3,978145330,M,25,7,23112,"Quick and the Dead, The (1995)",Action|Adventure|Western,False
82367,516,3035,3,976279592,F,56,14,55033,Mister Roberts (1955),Comedy|Drama|War,False
116495,5447,3699,4,959972511,M,45,2,60626,Starman (1984),Adventure|Drama|Romance|Sci-Fi,False
837695,5448,3549,3,960140489,M,45,19,60626,Guys and Dolls (1955),Musical,False
234193,5,506,4,978245999,M,25,20,55455,Orlando (1993),Drama,False
711551,302,3450,2,976505938,M,18,4,04901,Grumpy Old Men (1993),Comedy,False
541457,2012,2968,4,974678349,M,25,4,49456,Time Bandits (1981),Adventure|Fantasy|Sci-Fi,False
946497,2063,3327,3,974659036,M,25,4,43138,Beyond the Mat (2000),Documentary,False
165558,2901,3418,4,971884646,M,25,17,78749,Thelma & Louise (1991),Action|Drama,False
412017,1312,1584,3,974781644,M,25,14,60153,Contact (1997),Drama|Sci-Fi,False
989167,1737,2903,2,974709666,M,35,20,46614,Psycho III (1986),Horror|Thriller,False
589947,570,2694,3,975999461,M,25,4,33314,Big Daddy (1999),Comedy,False
867734,5108,2829,5,962338731,F,25,9,93940,"Muse, The (1999)",Comedy|Drama,False
439906,1600,592,3,974775445,M,35,7,08234,Batman (1989),Action|Adventure|Crime|Drama,False
327622,1100,364,1,974924069,M,25,0,60090,"Lion King, The (1994)",Animation|Children's|Musical,False
932489,4981,84,3,962597368,M,50,1,55406,Last Summer in the Hamptons (1995),Comedy|Drama,False
89295,5301,1259,3,960975692,M,25,17,00693,Stand by Me (1986),Adventure|Comedy|Drama,False
867143,4303,909,5,965267414,M,25,2,91910,"Apartment, The (1960)",Comedy|Drama,False
595475,3191,2719,2,968652998,M,25,12,27707,"Haunting, The (1999)",Horror|Thriller,False
810988,140,2935,3,986918733,F,35,1,55107,"Lady Eve, The (1941)",Comedy|Romance,False
956312,1687,1439,3,974711434,M,25,3,85013,Meet Wally Sparks (1997),Comedy,False
997189,5233,850,2,965341086,M,25,5,97213,Cyclo (1995),Crime|Drama,False
257745,5042,1554,4,962656277,F,18,2,55408,"Pillow Book, The (1995)",Drama|Romance,False
671841,2771,2404,2,973104297,M,18,1,92037,Rambo III (1988),Action|War,False
827126,5788,1130,2,958522672,M,25,0,92646,"Howling, The (1980)",Horror,False
453554,4779,1282,3,963018073,M,45,3,04011,Fantasia (1940),Animation|Children's|Musical,False
614084,1976,553,5,974689417,M,35,5,58703,Tombstone (1993),Western,False
410071,3608,1148,5,966612281,F,35,9,02879,"Wrong Trousers, The (1993)",Animation|Comedy,False
865654,676,1914,2,975684604,M,18,16,55129,Smoke Signals (1998),Comedy|Drama,False
899886,3029,448,4,972846529,M,18,4,92037,Fearless (1993),Drama,False
42845,3615,1,3,966602586,M,25,17,76028,Toy Story (1995),Animation|Children's|Comedy,False
367458,4053,454,3,965491724,M,25,18,36264,"Firm, The (1993)",Drama|Thriller,False
993287,3808,1341,3,965974238,M,25,7,60010,Burnt Offerings (1976),Horror,False
75407,3693,1213,4,966357634,M,25,15,94062,GoodFellas (1990),Crime|Drama,False
990732,1988,3446,4,996541516,F,25,1,85224,Funny Bones (1995),Comedy,False
476962,476,1377,4,976220438,M,35,0,55127,Batman Returns (1992),Action|Adventure|Comedy|Crime,False
187801,3180,1431,2,968802121,M,25,14,07430,Beverly Hills Ninja (1997),Action|Comedy,False
865622,4771,3874,2,1009073185,F,25,4,04101,"Couch in New York, A (1996)",Comedy|Romance,False
763799,4653,2558,2,975534382,M,35,12,95051,Forces of Nature (1999),Comedy|Romance,False
51153,4064,1029,5,965475834,M,45,0,20851,Dumbo (1941),Animation|Children's|Musical,False
426996,1889,1257,4,976434254,M,18,14,80023,Better Off Dead... (1985),Comedy,False
223959,5720,2947,4,958503208,M,25,0,60610,Goldfinger (1964),Action,False
357735,5852,508,3,958102239,F,25,1,94044,Philadelphia (1993),Drama,False
598385,4388,1422,5,966142489,M,45,3,75074,Murder at 1600 (1997),Mystery|Thriller,False
898024,3827,22,4,966128185,M,50,2,87020,Copycat (1995),Crime|Drama|Thriller,False
703780,1776,3752,1,983081371,M,25,0,45801,"Me, Myself and Irene (2000)",Comedy,False
786660,629,1713,5,975784518,F,1,10,48154,Mouse Hunt (1997),Children's|Comedy,False
535504,4118,3254,2,965359783,M,25,3,91221,Wayne's World 2 (1993),Comedy,False
156899,136,380,1,977531328,M,18,2,21202,True Lies (1994),Action|Adventure|Comedy|Romance,False
910038,2092,2670,4,974673403,M,56,1,49006,"Run Silent, Run Deep (1958)",War,False
441569,192,1918,4,977781603,M,18,1,10977,Lethal Weapon 4 (1998),Action|Comedy|Crime|Drama,False
93067,4055,1188,4,965491625,M,50,0,98826,Strictly Ballroom (1992),Comedy|Romance,False
261928,2608,2289,4,973727181,F,25,1,10025,"Player, The (1992)",Comedy|Drama,False
993589,2041,705,4,978576150,F,25,20,24015,Cosi (1996),Comedy,False
597988,1066,1783,4,974946105,M,45,12,02151,Palmetto (1998),Film-Noir|Mystery|Thriller,False
317261,235,32,4,976772094,M,25,0,98153,Twelve Monkeys (1995),Drama|Sci-Fi,False
44963,5763,1961,4,959535355,F,25,1,08904,Rain Man (1988),Drama,False
234887,3610,1250,1,977888690,M,18,6,30064,"Bridge on the River Kwai, The (1957)",Drama|War,False
248082,1701,6,5,974708550,F,25,4,97233,Heat (1995),Action|Crime|Thriller,False
553045,2225,2111,2,974678234,M,25,5,96815,"Man with Two Brains, The (1983)",Comedy,False
633091,4084,2311,3,965434027,M,56,13,14215,2010 (1984),Mystery|Sci-Fi,False
789193,891,471,2,975233980,M,25,1,80202,"Hudsucker Proxy, The (1994)",Comedy|Romance,False
891704,2279,2517,4,974561535,M,50,7,08816,Christine (1983),Horror,False
337239,3963,1296,4,969754344,M,50,20,30030,"Room with a View, A (1986)",Drama|Romance,False
69252,3045,2916,4,970189250,M,45,1,90631,Total Recall (1990),Action|Adventure|Sci-Fi|Thriller,False
971211,3196,2514,2,970937929,F,18,4,45219,Pet Sematary II (1992),Horror,False
635581,3067,1601,4,996607116,F,25,0,02148,Hoodlum (1997),Crime|Drama|Film-Noir,False
779382,1010,1100,1,975220526,M,25,0,10310,Days of Thunder (1990),Action|Romance,False
116434,5163,3699,4,961950862,M,45,6,53216,Starman (1984),Adventure|Drama|Romance|Sci-Fi,False
131916,3557,1552,1,966807056,M,18,5,48185,Con Air (1997),Action|Adventure|Thriller,False
747724,2537,45,2,974051509,M,35,11,37620,To Die For (1995),Comedy|Drama,False
100247,1597,1834,3,974733061,M,25,12,10002,"Spanish Prisoner, The (1997)",Drama|Thriller,False
415323,2106,778,5,1014520121,F,18,20,495321,Trainspotting (1996),Drama,False
149402,4725,3809,3,963368118,M,35,5,96707-1321,What About Bob? (1991),Comedy,False
670725,4951,1960,3,962644157,F,35,17,90291,"Last Emperor, The (1987)",Drama|War,False
425345,5889,1252,3,957476212,M,50,20,06033,Chinatown (1974),Film-Noir|Mystery|Thriller,False
682036,2232,3698,4,974598237,M,25,14,60061,"Running Man, The (1987)",Action|Adventure|Sci-Fi,False
802241,3501,3102,4,966998172,F,35,7,30309,Jagged Edge (1985),Thriller,False
588463,1776,3033,2,974703155,M,25,0,45801,Spaceballs (1987),Comedy|Sci-Fi,False
462769,3953,3039,3,1033527765,M,25,12,55117,Trading Places (1983),Comedy,False
119535,2888,2067,4,972060400,M,25,14,55438,Doctor Zhivago (1965),Drama|Romance|War,False
733440,4447,1267,5,965173082,M,45,5,32953,"Manchurian Candidate, The (1962)",Film-Noir|Thriller,False
298929,2880,913,5,989193045,M,18,12,55405,"Maltese Falcon, The (1941)",Film-Noir|Mystery,False
922891,463,1416,4,976227026,M,25,7,55105,Evita (1996),Drama|Musical,False
486062,5472,3701,3,959890753,M,35,1,27909,Alien Nation (1988),Crime|Drama|Sci-Fi,False
571292,1168,2539,3,974933704,F,25,0,94109,Analyze This (1999),Comedy,False
830339,4438,1231,3,965097021,M,50,0,11947,"Right Stuff, The (1983)",Drama,False
156912,195,380,5,985582142,M,25,12,10458,True Lies (1994),Action|Adventure|Comedy|Romance,False
76024,5916,1213,3,957320348,M,50,20,48230,GoodFellas (1990),Crime|Drama,False
234106,728,501,2,975514519,M,25,6,11598,Naked (1993),Drama,False
617967,2998,2394,4,979181666,F,25,1,45241,"Prince of Egypt, The (1998)",Animation|Musical,False
664657,3013,1005,3,970511083,M,45,17,97124,D3: The Mighty Ducks (1996),Children's|Comedy,False
456437,225,3608,4,976832744,M,25,7,11215,Pee-wee's Big Adventure (1985),Comedy,False
257446,3673,2282,4,966455101,M,25,2,10003,Pecker (1998),Comedy|Drama,False
560800,2008,246,4,974676853,M,25,3,48220,Hoop Dreams (1994),Documentary,False
716698,5759,2671,3,958256252,F,25,1,08904,Notting Hill (1999),Comedy|Romance,False
554887,2321,216,5,974474559,M,25,7,30115,Billy Madison (1995),Comedy,False
646068,5433,2454,2,960239210,F,35,17,45014,"Fly, The (1958)",Horror|Sci-Fi,False
458973,3417,180,2,967397868,F,18,2,14616,Mallrats (1995),Comedy,False
377735,1780,2023,3,1039941279,M,35,1,22181,"Godfather: Part III, The (1990)",Action|Crime|Drama,False
8370,1314,1287,5,975532470,F,18,4,68154,Ben-Hur (1959),Action|Adventure|Drama,False
502201,5824,954,5,957899194,M,18,12,18052,Mr. Smith Goes to Washington (1939),Drama,False
818166,5348,3018,4,960666039,M,18,5,55414,Re-Animator (1985),Horror,False
127797,3823,590,4,965943268,M,56,7,93711,Dances with Wolves (1990),Adventure|Drama|Western,False
245813,3224,299,4,968542801,F,25,14,93428,Priest (1994),Drama,False
846390,5795,3706,4,1004343675,M,25,1,92688,Angel Heart (1987),Film-Noir|Mystery|Thriller,False
136262,811,593,4,975734965,M,50,0,94043,"Silence of the Lambs, The (1991)",Drama|Thriller,False
298652,1181,913,4,974946181,M,35,7,20716,"Maltese Falcon, The (1941)",Film-Noir|Mystery,False
162148,4318,1096,3,965379347,M,25,5,02891,Sophie's Choice (1982),Drama,False
131394,301,1552,4,976504632,M,18,4,61820,Con Air (1997),Action|Adventure|Thriller,False
566932,5452,788,3,959935514,M,35,6,10011,"Nutty Professor, The (1996)",Comedy|Fantasy|Romance|Sci-Fi,False
311245,716,29,5,975532829,M,18,4,98188,"City of Lost Children, The (1995)",Adventure|Sci-Fi,False
996769,1425,3944,2,1024415675,M,1,10,08872,Bootmen (2000),Comedy|Drama,False
575565,4458,999,2,965076256,F,25,4,15701-2017,2 Days in the Valley (1996),Crime,False
313807,1164,1747,4,1021670380,F,25,19,90020,Wag the Dog (1997),Comedy|Drama,False
790364,817,3690,3,975387880,M,18,4,41076,Porky's Revenge (1985),Comedy,False
639509,1206,2288,5,974843201,F,50,7,33764,"Thing, The (1982)",Action|Horror|Sci-Fi|Thriller,False
196576,2480,1580,4,974148364,F,18,20,94410,Men in Black (1997),Action|Adventure|Comedy|Sci-Fi,False
791665,3336,2463,3,968096392,M,35,17,93436,Ruthless People (1986),Comedy,False
950689,1128,3840,1,974908614,M,25,1,72701,Pumpkinhead (1988),Horror,False
925913,706,1187,4,975543802,M,35,20,78664,Passion Fish (1992),Drama,False
4971,2846,2355,4,972537874,F,18,4,91604,"Bug's Life, A (1998)",Animation|Children's|Comedy,False
890062,4890,1611,3,962740134,F,25,1,79928,My Own Private Idaho (1991),Drama,False
148488,4768,1597,3,963087014,M,25,4,22030,Conspiracy Theory (1997),Action|Mystery|Romance|Thriller,False
